Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
A Serious Man,2264.0,2009,Accept mystery.,"Comedy, Drama","Ethan Coen, Joel Coen",/5gGxDS8WmrebPlMHexVS8EVehiP.jpg,"""Accept mystery.""","midlife crisis, professor, minnesota, dark comedy, rabbi, bar mitzvah, marijuana, morality, jewish american, bribery, school bus, bribe, aftercreditsstinger, jewish family, physics professor, 1960s, ethics, transistor radio, dreams, nightmares, flirty neighbor"
The House Bunny,1986.0,2008,"For the girls of ZETA house college life was no party, until Shelley showed up.","Romance, Comedy",Fred Wolf,/4oGGJ824vqIqDtyMvMuK44pDEmx.jpg,"""For the girls of ZETA house college life was no party, until Shelley showed up.""","virgin, pregnancy, college, yoga, bikini, playboy, jail, sorority, model, car wash, fraternity, pledge"
Eagle Eye,3035.0,2008,"If you want to live, you will obey.","Mystery, Thriller, Action",D.J. Caruso,/9KCOv0hL37IN3tWG3j86eZg3xDH.jpg,"""If you want to live, you will obey.""","artificial intelligence (a.i.), washington dc, usa, technology, hostage, secret identity, fbi, pentagon, twin brother, terrorism, human vs computer"
Max Payne,2195.0,2008,"When a man has lost everything, he only has revenge.","Crime, Action, Drama",John Moore,/3cWnCG5NyXJYARO2hmNqfbbgrMA.jpg,"""When a man has lost everything, he only has revenge.""","new york city, assassin, based on video game, aftercreditsstinger"
Bolt,6379.0,2008,,"Animation, Family, Adventure, Comedy","Chris Williams, Byron Howard",/v5aC4nrzXFGJDWY4JO1eengXzqk.jpg,"""nan""","hamster, human animal relationship, talking dog, animal, cat vs dog, duringcreditsstinger, talking cat, pets, dog cat friendship, animal lead"
Watchmen,9739.0,2009,Justice is coming to all of us. No matter what we do.,"Mystery, Action, Science Fiction",Zack Snyder,/aVURelN3pM56lFM7Dgfs5TixcIf.jpg,"""Justice is coming to all of us. No matter what we do.""",short film
Friday the 13th,2784.0,2009,Welcome to Crystal Lake.,"Horror, Thriller",Marcus Nispel,/88wlJ4teYlck4hJ2bnlxBrAVh0m.jpg,"""Welcome to Crystal Lake.""","cabin in the woods, axe murder, camp counselor"
Gran Torino,11258.0,2008,Get off my lawn.,Drama,Clint Eastwood,/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,"""Get off my lawn.""","rape, war veteran, gangster, immigration, old man, priest, gang, detroit, michigan, widower, hmong"
Let the Right One In,3148.0,2008,"Eli is 12 years old. She's been 12 for over 200 years, and she just moved in next door.","Horror, Drama",Tomas Alfredson,/7IG4WjaAOVDlLvLUkh513HSwhW8.jpg,"""Eli is 12 years old. She's been 12 for over 200 years, and she just moved in next door.""","based on novel or book, vampire, sweden, bullying, castration, bully, child vampire, murder, androgyny, new neighbor, young love"
The Man from Earth,2790.0,2007,From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...,"Science Fiction, Drama",Richard Schenkman,/V086R82gNgWrotaXZFO4JhdgB1.jpg,"""From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...""","immortality, birthday, legend, philosophy, professor, psychology, bible, time, survival, anthropology, prehistory, religion, memory, church, cavemen"
Transporter 3,3545.0,2008,"This time, the rules are the same. Except one.","Action, Thriller, Crime",Olivier Megaton,/p4R9Le2jYW2XB2QxbUeu74jJQ5D.jpg,"""This time, the rules are the same. Except one.""","martial arts, police, killing, detective, love, police chase, gunfight, taken, action hero"
Angels & Demons,7165.0,2009,The holiest event of our time. Perfect for their return.,"Thriller, Mystery",Ron Howard,/tFZQAuulEOtFTp0gHbVdEXwGrYe.jpg,"""The holiest event of our time. Perfect for their return.""","based on novel or book, rome, italy, vatican, symbolism, illuminati, quantum mechanics, prequel, anti matter, conspiracy, investigator, catholicism, cern"
Push,2377.0,2009,One push can change everything.,"Science Fiction, Action, Adventure, Thriller",Paul McGuigan,/fHStfRjQGstuqtUz4Q22lbFU58M.jpg,"""One push can change everything.""","god, environmentalism, vending machine"
Star Trek,10280.0,2009,The future begins.,"Science Fiction, Action, Adventure",J.J. Abrams,/hN2ZtF3Uw6mhIHZiqL0SKzELtKn.jpg,"""The future begins.""","spacecraft, teleportation, san francisco, california, time travel, space mission, parachute, black hole, supernova, prequel, futuristic, warp speed, warp engine, space, romulans, alternate reality, space opera, reboot, unlikely friendship, child driving car, 23rd century, based on tv series, 24th century"
Eden Lake,1977.0,2008,"A weekend by the lake, with views to die for.","Horror, Thriller",James Watkins,/tOg6ElTe1mJwaCFN0172U4oso22.jpg,"""A weekend by the lake, with views to die for.""","lake, beach, husband wife relationship, sadism, camping, rottweiler, forest, revenge, survival, fear, couple, gang violence, teenage killer"
Mirrors,1972.0,2008,There is evil...On the other side.,"Horror, Mystery",Alexandre Aja,/bt5a4ThyLpLTsia2e2ZTLzQjXO0.jpg,"""There is evil...On the other side.""","coming of age, lgbt, lgbt teen, teen drama, gay theme, short film"
Labyrinth,2651.0,1986,Where everything seems possible and nothing is what it seems.,"Adventure, Family, Fantasy",Jim Henson,/hbSdA1DmNA9IlfVoqJkIWYF2oYm.jpg,"""Where everything seems possible and nothing is what it seems.""","flying, labyrinth, existentialism, birds"
City of Ember,1822.0,2008,Escape is the only option,"Adventure, Family, Fantasy",Gil Kenan,/xHYxFNsl8KuT4tHai8d1Y5gJI0F.jpg,"""Escape is the only option""","underground world, dystopia, mayor, post-apocalyptic future, puzzle, steampunk, box, pipeworks"
High School Musical 2,3825.0,2007,It's time 2 celebrate!,"Comedy, Drama, Family, Music, Romance, TV Movie",Kenny Ortega,/la2kiVWDm2vuB4APZDgCCmuBh4K.jpg,"""It's time 2 celebrate!""","musical, summer, summer job, country club, music movie"
Camp Rock,2142.0,2008,Don't fit in. Stand out.,"Music, Comedy, Drama, Romance, Family, TV Movie",Matthew Diamond,/7IXMqZnwccogptThay3togKIFWw.jpg,"""Don't fit in. Stand out.""","summer camp, rock star, aspiring singer, camp, singing, summer, lying, teenage romance"
The Game Plan,2136.0,2007,"Half his size, twice the trouble ... and she's moving in.","Comedy, Family",Andy Fickman,/fcLFvIqCUrhY96mkSmr3okxaMEw.jpg,"""Half his size, twice the trouble ... and she's moving in.""","sports, american football, bachelor, aerobics, tween girl, publicist"
Home on the Range,2126.0,2004,Bust a Moo,"Animation, Family","Will Finn, John Sanford",/9xIIo4FMquy5SRqn8hppyr2QadR.jpg,"""Bust a Moo""","brother, ranch, game preserve"
Fast & Furious,7648.0,2009,New model. Original parts.,"Action, Crime, Drama, Thriller",Justin Lin,/lUtVoRukW7WNtUySwd8hWlByBds.jpg,"""New model. Original parts.""","sibling relationship, car race, gambling, ex-lover, fast, car crash, cop, street race"
RocknRolla,3155.0,2008,"A story of sex, thugs and rock 'n roll.","Action, Crime, Thriller",Guy Ritchie,/i7eyngqjdvKB7NvrWtCjjTNNq8N.jpg,"""A story of sex, thugs and rock 'n roll.""","london, england, gang leader, money, gang"
Knowing,5638.0,2009,What happens when the numbers run out?,"Action, Mystery, Science Fiction, Thriller",Alex Proyas,/OG0mxQt4YaNIWiz8EKJSHe9lPh.jpg,"""What happens when the numbers run out?""","cataclysm, code, time capsule, end of the world, astrophysicist, grieving widower, lexington massachusetts, westford massachusetts, prediction, researcher, numbers, news"
Defiance,1837.0,2008,Freedom begins with an act of defiance,"Action, Drama, History, War",Edward Zwick,/z6yNHcQOveRuAohuejdDFQDEBSs.jpg,"""Freedom begins with an act of defiance""","new york city, vigilante, gang"
Sweeney Todd: The Demon Barber of Fleet Street,6210.0,2007,Never Forget. Never Forgive.,"Drama, Horror",Tim Burton,/gAW4J1bkRjZKmFsJsIiOBASeoAp.jpg,"""Never Forget. Never Forgive.""","london, england, murder, barbershop, barber, 19th century"
Wild Child,1891.0,2008,New Girl. New School. New Rules.,"Comedy, Drama, Romance",Nick Moore,/xwbFEPubG4wroLDZdmTWRGNnnWf.jpg,"""New Girl. New School. New Rules.""","diving, england, boarding school, girls' boarding school, malibu, spoiled child, teen movie, lacrosse, school, love interest, laptop, discipline, intimidation, school mate, change of plan, girls' school"
Dead Silence,2383.0,2007,You scream. You die.,Horror,James Wan,/rvcUVdATIHKZt7BSSttUkKbeBXN.jpg,"""You scream. You die.""","funeral, legend, tombstone, detective, clown, flashback, ventriloquist, urban legend, curse, mansion, widower, gothic, doll, ghost story, ventriloquist's dummy"
The Girl Who Leapt Through Time,2162.0,2006,There is a future that we can't wait for.,"Fantasy, Animation, Drama, Science Fiction",Mamoru Hosoda,/xHnlWM8BmqY419YUccYy2KC5Jqo.jpg,"""There is a future that we can't wait for.""","high school, time travel, surrealism, love, slice of life, teenage girl, school, schoolgirl, jumping from height, teenage romance, anime, time manipulation, time leap"
Up,21234.0,2009,Change is in the air.,"Animation, Comedy, Family, Adventure",Pete Docter,/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg,"""Change is in the air.""","bondage, rape, undercover agent, dark comedy, sexism, sexual humor, sex outdoors, dildo, erotic movie"
2012,12477.0,2009,We Were Warned.,"Action, Adventure, Science Fiction",Roland Emmerich,/c2PkTPT5D9zB8SIm5wNlDAANEqM.jpg,"""We Were Warned.""","race against time, maya civilization, civilization, natural disaster, earthquake, end of the world, disaster, apocalypse, destruction, volcanic eruption, flood, disaster movie, ark, solar, anxious, 2010s, cautionary, dramatic"
Dragonball Evolution,2165.0,2009,The legend comes to life.,"Action, Adventure, Fantasy, Science Fiction, Thriller",James Wong,/sunS9xhPnFNP5wlOWrvbpBteAB.jpg,"""The legend comes to life.""","superhero, karate, revenge, dragon, based on manga, duringcreditsstinger, live action remake"
Marley & Me,4735.0,2008,Heel the love.,"Comedy, Family",David Frankel,/pnB6hjTKylb0Ve2nUWt16gzkErr.jpg,"""Heel the love.""","journalist, based on novel or book, puppy, love, dog, duringcreditsstinger, pets, columnist, animal lead, pet ownership, comforting"
Primer,2319.0,2004,What happens if it actually works?,"Science Fiction, Drama, Thriller",Shane Carruth,/xEoq2WmDzpzxhkHEsmOYOg6BPg6.jpg,"""What happens if it actually works?""","distrust, garage, mathematics, identity crisis, time travel, time machine, paradox, mechanical engineering"
Doubt,1849.0,2008,There are no simple truths.,Drama,John Patrick Shanley,/9lypT2ghNuUPYVJf66oe4fKvUqI.jpg,"""There are no simple truths.""","sexual abuse, wine, janitor, singing, pedophile, gossip, compassion, tolerance, 1960s"
Sinbad: Legend of the Seven Seas,2146.0,2003,The fantastic tale of his greatest adventure.,"Family, Animation, Adventure, Comedy, Fantasy, Action","Tim Johnson, Patrick Gilmore",/yiW2L1fDiBT7AeWXrykhTNtPrr8.jpg,"""The fantastic tale of his greatest adventure.""","prince, water monster, goddess, sailor, arabian nights, 8th century"
Ella Enchanted,1934.0,2004,Get enchanted,"Family, Fantasy, Comedy",Tommy O'Haver,/7AyNzwSEpJEG1gBdgwRfXi1cjs8.jpg,"""Get enchanted""","based on novel or book, elves, magic, fairy tale, fairy, prince, fantasy world, giant, ogre, obedience, fairy godmother"
Paul Blart: Mall Cop,2654.0,2009,Safety Never Takes A Holiday.,"Action, Adventure, Comedy, Family",Steve Carr,/A4zZv0Q1VKURFZFEl2vwjaE2q0g.jpg,"""Safety Never Takes A Holiday.""","security guard, duringcreditsstinger"
Rings,2570.0,2017,First you watch it. Then you die.,Horror,F. Javier Gutiérrez,/yp4CDOVpVmNwiPoZKQeFCpW8CFo.jpg,"""First you watch it. Then you die.""","high school, race against time, ladder, fear, videotape, dvd extra, short film"
The Boy in the Striped Pyjamas,7511.0,2008,"Lines may divide us, but hope will unite us.","Drama, War, History",Mark Herman,/sLwYSEVVV3r047cjrpRAbGgNsfL.jpg,"""Lines may divide us, but hope will unite us.""","based on novel or book, nazi, nationalism, concentration camp, world war ii, gas chamber, concentration camp prisoner, children in wartime"
Ip Man,3996.0,2008,The celebrated Kung Fu master of Bruce Lee.,"Drama, Action, History",Wilson Yip,/zyQQ7wFuCvH6MzJcUKy6N6ouMYs.jpg,"""The celebrated Kung Fu master of Bruce Lee.""","martial arts, kung fu, sports, foreigner, bravery, rice, katana, market, tragic hero, second sino-japanese war (1937-45), racism, sadist, master, wing chun, bayonet"
Coraline,8753.0,2009,Be careful what you wish for.,"Animation, Family, Fantasy",Henry Selick,/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,"""Be careful what you wish for.""","friendship, dream, based on novel or book, eye, stuffed animal, stop motion, parallel world, button, new home, secret door, aftercreditsstinger, duringcreditsstinger, horror for children, talking cat, parallel universe, neil gaiman"
G.I. Joe: The Rise of Cobra,4817.0,2009,"When all else fails, they don't.","Adventure, Action, Thriller, Science Fiction",Stephen Sommers,/mc9b25IAprHfsaOz0wTshOwGHcY.jpg,"""When all else fails, they don't.""","government, technology, hostage, laser, warhead, president, revenge, murder, attack, terrorism, explosion, scientist, evil, cobra"
Crank: High Voltage,3040.0,2009,He was dead... but he got better.,"Action, Thriller, Crime","Mark Neveldine, Brian Taylor",/tzTC4EEvF0OPL63frEiogxL2T8M.jpg,"""He was dead... but he got better.""","prostitute, heart, horse race, cigarette, electric shock, strip club, sequel, flashback, tourette syndrome, gang, shootout, mansion, foot chase, surgery, taser, duringcreditsstinger, absurdism, ultraviolence"
The Sound of Music,3528.0,1965,The happiest sound in all the world!,"Drama, Family, Music, Romance",Robert Wise,/c6CrUZypAsBCaRWX0M3RVRDbhNS.jpg,"""The happiest sound in all the world!""","cartoon, dark comedy, adult animation, short film, four-mations"
Sixteen Candles,2168.0,1984,"Turning sixteen isn't easy, when you've fallen in love... for the first time.","Comedy, Romance",John Hughes,/A3WGCAgJF33kZdlxUdyXHYdbYax.jpg,"""Turning sixteen isn't easy, when you've fallen in love... for the first time.""","high school, birthday, nerd, convertible, crush, teenage crush, exchange student, night vision goggles, sweet sixteen, chastity, teenage angst, high school romance, sister's wedding, popular boy, high school prom"
"OSS 117: Cairo, Nest of Spies",1814.0,2006,,"Crime, Action, Adventure, Comedy",Michel Hazanavicius,/dDVHVZVEbTV4JsB8ZjdXNmMK7rA.jpg,"""nan""","france, cairo, nazi, espionage, secret agent"
Another Cinderella Story,2096.0,2008,Once upon a time... can happen again.,"Music, Comedy, Romance, Family",Damon Santostefano,/bW957WNXiiUvIGFaUVL7wMeD776.jpg,"""Once upon a time... can happen again.""","high school, dance, dancer, fairy tale, masked ball, musical, celebrity, orphan, modern fairy tale"
Clue,1889.0,1985,It's not just a game anymore.,"Comedy, Thriller, Crime, Mystery",Jonathan Lynn,/aRxbYOYHS8T73nzR8hsLousoplR.jpg,"""It's not just a game anymore.""","blackmail, butler, board game, mansion, whodunit, maid, old house"
The Cat Returns,2387.0,2002,"It's not so bad being a cat, now is it?","Adventure, Fantasy, Animation, Drama, Family",Hiroyuki Morita,/pqyY7IEWkCWNZ7EuRStQaJITEta.jpg,"""It's not so bad being a cat, now is it?""","chase, cat, self-discovery, maze, human animal relationship, prince, crow, sequel, anthropomorphism, grass, sword fight, based on manga, kindness, protector, compassion, tower, schoolgirl, schoolgirl uniform, cat vs bird, talking cat, mysterious, bride-to-be, anime, japanese school, anthropomorphic animal, animal transformation, joyful"
Role Models,2060.0,2008,They're about to get more than they plea-bargained for.,Comedy,David Wain,/ki79dSjh6Rr51xrsz4dT04UGxSU.jpg,"""They're about to get more than they plea-bargained for.""","camping, campsite, friends, community service, duringcreditsstinger, larp"
The Girl with the Dragon Tattoo,3134.0,2009,Based on the Worldwide Best Seller,"Drama, Thriller, Crime, Mystery",Niels Arden Oplev,/6w0TKhfR0Rzby5SXxgfuI99Jrva.jpg,"""Based on the Worldwide Best Seller""","journalist, island, bondage, rape, strong woman, hacker, based on novel or book, blow job, antisocial personality disorder, female protagonist, whodunit, newspaper man, millennium, female empowerment, locked room mystery"
Monsters vs Aliens,4864.0,2009,Saving the day the monster way.,"Animation, Family, Adventure, Science Fiction","Conrad Vernon, Rob Letterman",/hpHarddVj34j53T7NsoUGdKj4mP.jpg,"""Saving the day the monster way.""","alien, giant robot, duringcreditsstinger, 3d"
A Goofy Movie,1871.0,1995,It's hard to be cool when your Dad is Goofy.,"Adventure, Comedy, Romance, Animation, Family",Kevin Lima,/bycmMhO3iIoEDzP768sUjq2RV4T.jpg,"""It's hard to be cool when your Dad is Goofy.""","parent child relationship, pop singer, musical, road trip, celebrity, first love, cross country trip, father son relationship"
The Return of Jafar,3417.0,1994,The Aladdin adventure continues...,"Family, Adventure, Animation, Romance","Toby Shelton, Tad Stones, Alan Zaslove",/7SC793qtORB6YL4mu0F5o3hfjDQ.jpg,"""The Aladdin adventure continues...""","princess, middle east, magic, parrot, sultan, flying carpet, musical, sequel, love, revenge, magical object, animal, aftercreditsstinger, genie, magic lamp, direct to video"
Serenity,3759.0,2005,They aim to misbehave.,"Science Fiction, Action, Adventure, Thriller",Joss Whedon,/4sqUOaPFoP2W81mq1UYqZqf5WzA.jpg,"""They aim to misbehave.""","rose garden, rape, marriage crisis, refugee, prisoner of war, migration, strangulation, avant-garde, displacement, grave robber, peace treaty, statue"
Where the Wild Things Are,1966.0,2009,There's one in all of us.,"Fantasy, Drama, Adventure, Family",Spike Jonze,/sDFV9VEjwTUWF1s5sjOllsb70jk.jpg,"""There's one in all of us.""",based on children's book
"I Love You, Man",1863.0,2009,Are you man enough to say it?,"Comedy, Romance",John Hamburg,/xr4zAYsvgTzvMMiWu6qCAP9WBer.jpg,"""Are you man enough to say it?""","bondage, poker, wedding reception, fiancé, marriage, male friendship, gay interest, wedding, real estate agent, duringcreditsstinger, best man"
Adventureland,2278.0,2009,Nothing brings people together like a crappy summer job.,"Comedy, Drama, Romance",Greg Mottola,/eeSJNAR1aWcgANq26KWIHm3cbyB.jpg,"""Nothing brings people together like a crappy summer job.""","infidelity, amusement park, summer job, carny, marijuana joint, reconciliation, ticket booth, job seeking, leaving home, duringcreditsstinger, young adult, 1980s"
Return to Never Land,2372.0,2002,The Classic Continues,"Adventure, Fantasy, Animation, Family",Robin Budd,/wB3r2b8sxUZspqNyr8copMlt7se.jpg,"""The Classic Continues""","flying, peter pan, sequel"
Kiki's Delivery Service,4434.0,1989,"I was feeling blue, but I'm better now.","Animation, Family, Fantasy, Drama",Hayao Miyazaki,/Aufa4YdZIv4AXpR9rznwVA5SEfd.jpg,"""I was feeling blue, but I'm better now.""","witch, based on children's book, talking cat"
Planet 51,2108.0,2009,Something strange is coming to their planet...Us!,"Animation, Family, Comedy, Science Fiction, Adventure",Jorge Blanco,/x7Itcg3ZdExKwdKguy73WPEqosW.jpg,"""Something strange is coming to their planet...Us!""","spacecraft, flying saucer, alien life-form, alien, alien planet, planet, duringcreditsstinger"
Inglourious Basterds,23645.0,2009,Once upon a time in Nazi occupied France...,"Drama, Thriller, War",Quentin Tarantino,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,"""Once upon a time in Nazi occupied France...""","guerrilla warfare, swastika, paris, france, nazi, self sacrifice, sadism, dynamite, mexican standoff, world war ii, jew persecution, masochism, anti-semitism, german occupation of france, british politics, revisionist history, adolf hitler"
Drag Me to Hell,3961.0,2009,"Christine Brown has a good job, a great boyfriend, and a bright future. But in three days, she's going to hell.","Horror, Thriller",Sam Raimi,/fdyejM5Zd6dsa0YyWa02ZAKwQzK.jpg,"""Christine Brown has a good job, a great boyfriend, and a bright future. But in three days, she's going to hell.""","work, gypsy, gore, curse, psychologist, psychic, evil, loan officer, obituary, engagement ring"
State of Play,2074.0,2009,Find the truth,"Thriller, Crime, Mystery",Kevin Macdonald,/mWsfeSFUM3NxWa62UrA9IIn240B.jpg,"""Find the truth""","newspaper, journalist, assassin, assassination, washington dc, usa, government, corruption, congress, election campaign, politics, detective, editor-in-chief, blog, murder, reporter, u.s. congress, investigative journalism, usa politics"
17 Again,5319.0,2009,Who says you're only young once?,"Comedy, Fantasy, Drama, Romance",Burr Steers,/yEcfFXEWpuXcfsR9nKESVCFneqV.jpg,"""Who says you're only young once?""","high school, fake identity, bullying, high school sports, adult as a child, do over, age change"
Moon,6086.0,2009,"250,000 miles from home, the hardest thing to face...is yourself.","Science Fiction, Drama",Duncan Jones,/35IU0Mq0zFsN1mYwDGts5mKc77n.jpg,"""250,000 miles from home, the hardest thing to face...is yourself.""","future, moon, artificial intelligence (a.i.), isolation, clone, dystopia, space, cloning, moon base, two-hander"
The Adventures of Tintin,5672.0,2011,Discover how far adventure will take you.,"Adventure, Animation, Mystery",Steven Spielberg,/fQZ3sLR1Fi63NMsNRbjm9q5qODJ.jpg,"""Discover how far adventure will take you.""","treasure, captain, riddle, morocco, treasure hunt, liquor, based on comic, sunken treasure, reporter, 1950s"
Antichrist,2745.0,2009,Chaos reigns.,"Drama, Horror, Thriller",Lars von Trier,/ge7zbYvpfsDP3luKi0iSpzOgncM.jpg,"""Chaos reigns.""","anti-christ, devil"
Year One,1967.0,2009,Meet your ancestors.,"Comedy, Adventure",Harold Ramis,/qF573jdJYwtCbXVXPDn4xu8nW2a.jpg,"""Meet your ancestors.""","temple, circumcision, slavery, stone age, prehistory, cavemen, duringcreditsstinger, prehistoric man, hilarious"
District 9,10085.0,2009,You are not welcome here.,Science Fiction,Neill Blomkamp,/tuGlQkqLxnodDSk6mp5c2wvxUEd.jpg,"""You are not welcome here.""","street gang, government, genetics, slum, mutation, dystopia, transformation, south africa, johannesburg south africa, satire, mockumentary, alien, prawn, alternate history, racism, metamorphosis, xenophobia, internment camp, alien technology, segregation, private military company, based on short film"
A Christmas Carol,4836.0,2009,"Christmas comes but once a year, but for one man, that's once too often.","Animation, Family, Fantasy, Drama",Robert Zemeckis,/xNwlAIdx1Ln28GRiQttUP9Gojy2.jpg,"""Christmas comes but once a year, but for one man, that's once too often.""","based on novel or book, clerk, holiday, redemption, little boy, apparition, spirit, goose, celebration, miser, ghost, christmas spirit, christmas, bookkeeper, generosity, lame child, sickly boy"
Hannah Montana: The Movie,2069.0,2009,"She has the best of both worlds... Now, she has to choose just one.","Comedy, Drama, Family, Music, Romance",Peter Chelsom,/nZUKhfpUCFfTy24LGBHdDlK5RLx.jpg,"""She has the best of both worlds... Now, she has to choose just one.""","double life, countryside, pop star, musical, celebrity, tennessee, singer, teen movie, teenage girl, hometown"
The Twilight Saga: New Moon,9600.0,2009,Forbidden to remember. Terrified to forget.,"Adventure, Fantasy, Drama, Romance",Chris Weitz,/k2qTooPlHffgNABNWxeJdGMglPK.jpg,"""Forbidden to remember. Terrified to forget.""","moon, based on novel or book, vampire, teen movie, werewolf, interspecies romance, based on young adult novel, supernatural power, good versus evil, vampire human love"
The Proposal,7288.0,2009,Here comes the bribe...,"Comedy, Romance, Drama",Anne Fletcher,/6stnAm1wSek8ZrislwK4xGTyCnt.jpg,"""Here comes the bribe...""","fictitious marriage, deportation, immigration law, romantic comedy, alaska, co-workers relationship, humiliation, book editor, fake boyfriend, valentine's day, duringcreditsstinger, woman director, pretend relationship"
Night at the Museum: Battle of the Smithsonian,7123.0,2009,When the lights go off the battle is on.,"Adventure, Fantasy, Action, Comedy, Family",Shawn Levy,/l9yAQn6TyrA3gv5xZZkiMMoZsiw.jpg,"""When the lights go off the battle is on.""","museum, magical object, duringcreditsstinger, pharaoh, amelia earhart, inanimate objects come to life, smithsonian, back to life, come back to life"
The Last House on the Left,1875.0,2009,"If bad people hurt someone you love, how far would you go to hurt them back?","Crime, Thriller, Horror, Drama",Dennis Iliadis,/2Y35XCUS8U8vC8vs0HDEVkPu1BM.jpg,"""If bad people hurt someone you love, how far would you go to hurt them back?""","concert, rape, birthday, loss of loved one, gun, kidnapping, revenge, marijuana, slasher, pond, rape and revenge, video nasty"
Brüno,1849.0,2009,Borat was so 2006.,Comedy,Larry Charles,/wcUc7TYtsb72dHVb51sYaGIvQsr.jpg,"""Borat was so 2006.""","homophobia, drag queen, satire, dominatrix, celebrity, mockumentary, social satire, fame, hollywood, tv reporter, lgbt, austrian, duringcreditsstinger, sex tape, celebrity interview, gay theme"
The Taking of Pelham 1 2 3,3291.0,2009,I can't get it out of my head. I'm gonna die today.,"Crime, Thriller, Action",Tony Scott,/rEnyQiBu6goqJfvQXpUZQjpoHVp.jpg,"""I can't get it out of my head. I'm gonna die today.""","new york city, hostage, motorcycle crash, remake, new york subway, subway train, stock market, subway tunnel, aftercreditsstinger"
Gamer,2535.0,2009,"In the near future, you don't live to play... you'll play to live.","Action, Thriller, Science Fiction","Mark Neveldine, Brian Taylor",/nA8ZVbdBsNkTqsa49ZG9na4lFuY.jpg,"""In the near future, you don't live to play... you'll play to live.""","mind control, prisoner, video game, dystopia, gun battle, wrongful imprisonment, wrongful conviction, online gaming, 2030s, death game, not too distant future"
Bronson,2603.0,2009,The Man. The Myth. The Celebrity.,"Drama, Action, Crime",Nicolas Winding Refn,/6diyyGIbBNiANsdIaCGtyv4IofR.jpg,"""The Man. The Myth. The Celebrity.""","prison, isolation, biography, based on true story, solitary confinement, cynical"
The Hangover,17766.0,2009,Some guys just can't handle Vegas.,Comedy,Todd Phillips,/A0uS9rHR56FeBtpjVki16M5xxSW.jpg,"""Some guys just can't handle Vegas.""","blackjack, stag night, lost weekend, chapel, hit with tire iron, memory loss, las vegas, drugs"
Clash of the Titans,6549.0,2010,The clash begins.,"Adventure, Fantasy, Action",Louis Leterrier,/6iHYLipwEyZUPNO8MM3l1yHDaFE.jpg,"""The clash begins.""","hades, mythology, greek mythology, zeus, mythological beast, medusa, sea monster, perseus, kraken, gods, ancient greece, based on myths, legends or folklore"
The Boat That Rocked,2216.0,2009,On air. Off shore. Out of control.,"Drama, Comedy",Richard Curtis,/l7CBRLAXUnHi0kp2krhLtlJvtWI.jpg,"""On air. Off shore. Out of control.""","ship, rock 'n' roll, great britain, radio station, north sea, pirate radio, swinging 60s, dj, 1960s, teenage protagonist"
Whatever Works,1806.0,2009,A new comedy!,"Comedy, Romance",Woody Allen,/upIYOZbiutCBnvejGYaZlJxxKcs.jpg,"""A new comedy!""","new york city, naivety, age difference, love at first sight, runaway, marriage, atheist, misanthrophy, eccentric, religion, dating, older man younger woman relationship, limp"
Dilwale Dulhania Le Jayenge,4544.0,1995,"Come… Fall In love, All Over Again…","Comedy, Drama, Romance",Aditya Chopra,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,"""Come… Fall In love, All Over Again…""","family's daily life, family history, love-hate relationship, family drama, love affair"
G-Force,1962.0,2009,The world needs bigger heroes,"Family, Fantasy, Action, Adventure, Comedy",Hoyt Yeatman,/9Tly3ZXTTsQKM26fis8v9LR4GxG.jpg,"""The world needs bigger heroes""","secret agent, guinea pig, dyr, duringcreditsstinger"
Pandorum,2560.0,2009,Don't fear the end of the world. Fear what happens next.,"Action, Horror, Mystery, Science Fiction, Thriller",Christian Alvart,/mNMfa6r3pl0EzFIKEkVcxyr6Rc7.jpg,"""Don't fear the end of the world. Fear what happens next.""","spacecraft, mission, mutation, dystopia, survival, creature, pandorum"
Couples Retreat,2036.0,2009,It may be paradise... but it's no vacation.,"Comedy, Romance",Peter Billingsley,/igXVSRZsNX3TZsKrQqSyEJvzHRF.jpg,"""It may be paradise... but it's no vacation.""","island, married couple, tahiti, couples therapy, love, beautiful woman, divorce, divorcee, tropical, aftercreditsstinger, duringcreditsstinger, french polynesia"
Daybreakers,2099.0,2010,"In 2019, the most precious natural resource... is us.","Action, Fantasy, Science Fiction","Michael Spierig, Peter Spierig",/xFZH2l9UOyIclk2ZFWNHQ38B2RP.jpg,"""In 2019, the most precious natural resource... is us.""","experiment, sunrise, waitress, vampire, dystopia, rain, sunlight, undead, scientist, epidemic, death, dead, brutal deaths"
